0	0	980	24480910
0	1	980	20677878
0	2	980	20704639
0	3	980	20697407
0	4	980	20701656
0	5	980	20687487
0	6	980	20690799
0	7	980	20681233
0	8	980	20412035
0	9	980	20431646
1	0	29222	382075
1	1	29222	314546
1	2	29222	312438
1	3	29222	316436
1	4	29222	312632
1	5	29222	315971
1	6	29222	312881
1	7	29222	317313
1	8	29222	312735
1	9	29222	316017
2	0	4601	564871
2	1	4601	563811
2	2	4601	563654
2	3	4601	564751
2	4	4601	564068
2	5	4601	564400
2	6	4601	563980
2	7	4601	564228
2	8	4601	564379
2	9	4601	564367
3	0	654	2365547
3	1	654	2361339
3	2	654	2360034
3	3	654	2357836
3	4	654	2360249
3	5	654	2358754
3	6	654	2359521
3	7	654	2358805
3	8	654	2359488
3	9	654	2359096
4	0	302	113998
4	1	302	114420
4	2	302	114437
4	3	302	114564
4	4	302	114493
4	5	302	114436
4	6	302	114410
4	7	302	114391
4	8	302	114421
4	9	302	114445
5	0	2342	14300
5	1	2342	12849
5	2	2342	12774
5	3	2342	12788
5	4	2342	12787
5	5	2342	12798
5	6	2342	12812
5	7	2342	12796
5	8	2342	12800
5	9	2342	12832
6	0	80	4596
6	1	80	4286
6	2	80	4259
6	3	80	4254
6	4	80	4259
6	5	80	4258
6	6	80	4260
6	7	80	4259
6	8	80	4258
6	9	80	4261
7	0	270	381567
7	1	270	381781
7	2	270	381618
7	3	270	382344
7	4	270	381810
7	5	270	381452
7	6	270	383136
7	7	270	382255
7	8	270	383085
7	9	270	383637
8	0	240	1968
8	1	240	1695
8	2	240	1679
8	3	240	1694
8	4	240	1678
8	5	240	1676
8	6	240	1691
8	7	240	1678
8	8	240	1693
8	9	240	1675
9	0	17492	153804
9	1	17492	155195
9	2	17492	154811
9	3	17492	154416
9	4	17492	153089
9	5	17492	152947
9	6	17492	153089
9	7	17492	154588
9	8	17492	154712
9	9	17492	155058
