0	0	7	4889984
0	1	7	4917423
0	2	7	4874196
0	3	7	4861039
0	4	7	4907540
0	5	7	4226013
0	6	7	4405023
0	7	7	4238460
0	8	7	4907726
0	9	7	4907403
1	0	11	4228025
1	1	11	4893446
1	2	11	4245285
1	3	11	4234979
1	4	11	4456802
1	5	11	4224499
1	6	11	4290833
1	7	11	4239353
1	8	11	4230089
1	9	11	4225462
2	0	56	4884571
2	1	56	4234805
2	2	56	4888327
2	3	56	4268234
2	4	56	4911455
2	5	56	4910404
2	6	56	4905505
2	7	56	4978330
2	8	56	4914169
2	9	56	4231177
3	0	154	4927189
3	1	154	4911532
3	2	154	4913768
3	3	154	4928686
3	4	154	4920629
3	5	154	4873783
3	6	154	4933722
3	7	154	4908879
3	8	154	4891888
3	9	154	4933136
4	0	123	4931817
4	1	123	4913373
4	2	123	4943218
4	3	123	4971782
4	4	123	4843373
4	5	123	4940553
4	6	123	4930630
4	7	123	4234204
4	8	123	4437487
4	9	123	4915882
