0	0	12	653
0	1	12	506
0	2	12	495
0	3	12	486
0	4	12	487
0	5	12	489
0	6	12	484
0	7	12	484
0	8	12	487
0	9	12	488
1	0	4588	123111
1	1	4588	117540
1	2	4588	117226
1	3	4588	117817
1	4	4588	117195
1	5	4588	117677
1	6	4588	117431
1	7	4588	117490
1	8	4588	117683
1	9	4588	117449
2	0	65	2097111
2	1	65	2076206
2	2	65	2076099
2	3	65	2076444
2	4	65	2076814
2	5	65	2076281
2	6	65	2076306
2	7	65	2076069
2	8	65	2076482
2	9	65	2076150
3	0	206	47862
3	1	206	47325
3	2	206	47332
3	3	206	47236
3	4	206	47197
3	5	206	47254
3	6	206	47262
3	7	206	47280
3	8	206	47376
3	9	206	47232
4	0	946	115517
4	1	946	114200
4	2	946	113972
4	3	946	114119
4	4	946	114042
4	5	946	113998
4	6	946	113980
4	7	946	114007
4	8	946	114073
4	9	946	113931
